graph,scenario,nodes,train_pos,val_pos,test_pos,algorithm,n_runs,reliable,auc_roc,auc_pr,hits_at_k,precision,recall,f1,threshold
DLG7,C,574,30,8,5,preferential_attachment,5,False,0.4066666666666667,0.21704033514378343,0.26666666666666666,0.0,0.0,0.0,
DLG7,C,574,30,8,5,l3,5,False,0.46,0.16666666666666666,1.0,0.16666666666666666,1.0,0.2857142857142857,
DLG7,C,574,30,8,5,katz,5,False,0.43333333333333335,0.16666666666666666,1.0,0.16666666666666666,1.0,0.2857142857142857,
DLG7,C,574,30,8,5,ppr,5,False,0.6253333333333334,0.23285006387947563,0.20000000000000004,0.22751322751322753,1.0,0.3683707596751075,
DLG7,C,574,30,8,5,RandomForest,5,False,0.41333333333333333,0.16666666666666666,1.0,0.16666666666666666,1.0,0.2857142857142857,
DLG7,C,574,30,8,5,RUSBoost,5,False,0.27,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,
DLG7,C,574,30,8,5,LightGBM,5,False,0.12666666666666668,0.12521255389621208,0.0,0.0392156862745098,0.13333333333333333,0.06060606060606061,
DLG7,C,574,30,8,5,Node2Vec+MLP,5,False,0.4053333333333333,0.18647947967038422,0.26666666666666666,0.09722222222222221,0.20000000000000004,0.13015873015873017,
DLG8,A,546,20,5,9,preferential_attachment,5,False,0.6547325102880658,0.3615506562771785,0.3333333333333333,0.17777777777777778,0.8888888888888888,0.29304029304029305,
DLG8,A,546,20,5,9,l3,5,False,0.4722222222222222,0.16666666666666666,0.8518518518518517,0.1111111111111111,0.6666666666666666,0.19047619047619047,
DLG8,A,546,20,5,9,katz,5,False,0.4666666666666667,0.16666666666666666,0.8148148148148149,0.1111111111111111,0.6666666666666666,0.19047619047619047,
DLG8,A,546,20,5,9,ppr,5,False,0.30617283950617286,0.13038490774510364,0.0,0.08069381598793364,0.4074074074074074,0.13394332189604777,
DLG8,A,546,20,5,9,RandomForest,5,False,0.41687242798353913,0.16372269705603038,0.07407407407407407,0.0,0.0,0.0,
DLG8,A,546,20,5,9,RUSBoost,5,False,0.43497942386831284,0.1621192770618058,0.25925925925925924,0.09595959595959595,0.48148148148148145,0.15873015873015872,
DLG8,A,546,20,5,9,LightGBM,5,False,0.2806584362139918,0.143287950379986,0.0,0.03875968992248062,0.1851851851851852,0.06410256410256411,
DLG8,A,546,20,5,9,Node2Vec+MLP,5,False,0.40288065843621396,0.15629369232146426,0.1111111111111111,0.030303030303030304,0.037037037037037035,0.03333333333333333,
DLG8,B,546,26,6,2,preferential_attachment,5,False,0.4749999999999999,0.2306998556998557,0.8333333333333334,0.19444444444444442,0.6666666666666666,0.30158730158730157,
DLG8,B,546,26,6,2,l3,5,False,0.5666666666666668,0.21388888888888888,1.0,0.16666666666666666,1.0,0.2857142857142857,
DLG8,B,546,26,6,2,katz,5,False,0.5333333333333333,0.27777777777777773,1.0,0.16666666666666666,1.0,0.2857142857142857,
DLG8,B,546,26,6,2,ppr,5,False,0.4583333333333333,0.2333333333333333,0.8333333333333334,0.1111111111111111,0.6666666666666666,0.19047619047619047,
DLG8,B,546,26,6,2,RandomForest,5,False,0.5166666666666667,0.21388888888888888,1.0,0.16666666666666666,1.0,0.2857142857142857,
DLG8,B,546,26,6,2,RUSBoost,5,False,0.475,0.175,1.0,0.16666666666666666,1.0,0.2857142857142857,
DLG8,B,546,26,6,2,LightGBM,5,False,0.6083333333333333,0.2902116402116402,1.0,0.2074074074074074,0.8333333333333334,0.3434343434343434,
DLG8,B,546,26,6,2,Node2Vec+MLP,5,False,0.43333333333333335,0.22706228956228958,0.8333333333333334,0.05555555555555555,0.16666666666666666,0.08333333333333333,
DLG8,C,546,22,6,6,preferential_attachment,5,False,0.4444444444444444,0.174172937551465,0.16666666666666666,0.11363636363636365,0.4444444444444444,0.17149081854964207,
DLG8,C,546,22,6,6,l3,5,False,0.41111111111111115,0.16666666666666666,0.7777777777777778,0.16666666666666666,1.0,0.2857142857142857,
DLG8,C,546,22,6,6,katz,5,False,0.3444444444444444,0.16666666666666666,0.1111111111111111,0.16666666666666666,1.0,0.2857142857142857,
DLG8,C,546,22,6,6,ppr,5,False,0.4787037037037037,0.18799804260945016,0.05555555555555555,0.16666666666666666,1.0,0.2857142857142857,
